Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,BOM,2018-11-02T10:20:00Z,10:20,12:00,9495.0,7350.0,1640.0,Jet Airways,7,10h 20m,Economy,315,9W,9W_315_9W_498_,False,2018-10-25
AMD,BOM,2018-11-02T07:25:00Z,07:25,08:40,9642.0,8800.0,587.0,Air India,8,11h 5m,Economy,614,AI,AI_614_AI_607_,False,2018-10-25
AMD,BOM,2018-11-02T04:00:00Z,04:00,05:15,9695.0,8850.0,590.0,Air India,9,7h 10m,Economy,30,AI,AI_30_AI_639_,False,2018-10-25
AMD,BOM,2018-11-02T04:00:00Z,04:00,05:15,9695.0,8850.0,590.0,Air India,9,17h 50m,Economy,30,AI,AI_30_AI_609_,False,2018-10-25
AMD,DEL,2018-11-02T11:00:00Z,11:00,12:35,10201.0,9100.0,746.0,Vistara,3,9h 25m,Economy,976,UK,UK_976_UK_813_,False,2018-10-25
AMD,DEL,2018-11-02T08:40:00Z,08:40,10:25,10831.0,9700.0,776.0,Vistara,9,11h 45m,Economy,946,UK,UK_946_UK_813_,False,2018-10-25
AMD,BOM,2018-11-02T07:25:00Z,07:25,08:40,11165.0,10250.0,660.0,Air India,8,14h 25m,Economy,614,AI,AI_614_AI_609_,True,2018-10-25
AMD,DEL,2018-11-02T11:00:00Z,11:00,12:35,11251.0,10100.0,796.0,Vistara,3,7h 45m,Economy,976,UK,UK_976_UK_817_,False,2018-10-25
AMD,BOM,2018-11-02T04:25:00Z,04:25,05:35,11280.0,9050.0,1725.0,Jet Airways,7,16h 15m,Economy,411,9W,9W_411_9W_498_,True,2018-10-25
AMD,BOM,2018-11-02T18:55:00Z,18:55,20:25,12225.0,9950.0,1770.0,Jet Airways,6,21h 25m,Economy,913,9W,9W_913_9W_415_,True,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,5h 25m,Economy,685,9W,9W_685_9W_743_,False,2018-10-25
AMD,DEL,2018-11-02T07:00:00Z,07:00,08:40,13328.0,10400.0,2423.0,Jet Airways,4,7h 30m,Economy,687,9W,9W_687_9W_815_,False,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,8h 55m,Economy,685,9W,9W_685_9W_815_,False,2018-10-25
AMD,DEL,2018-11-02T07:00:00Z,07:00,08:40,13328.0,10400.0,2423.0,Jet Airways,7,10h 55m,Economy,687,9W,9W_687_9W_823_,False,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,12h 20m,Economy,685,9W,9W_685_9W_823_,False,2018-10-25
AMD,DEL,2018-11-02T07:00:00Z,07:00,08:40,13328.0,10400.0,2423.0,Jet Airways,7,12h 20m,Economy,687,9W,9W_687_9W_809_,False,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,13h 45m,Economy,685,9W,9W_685_9W_809_,True,2018-10-25
AMD,DEL,2018-11-02T07:00:00Z,07:00,08:40,13328.0,10400.0,2423.0,Jet Airways,4,14h 0m,Economy,687,9W,9W_687_9W_811_,True,2018-10-25
AMD,DEL,2018-11-02T07:00:00Z,07:00,08:40,13328.0,10400.0,2423.0,Jet Airways,4,15h 15m,Economy,687,9W,9W_687_9W_715_,True,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,15h 25m,Economy,685,9W,9W_685_9W_811_,True,2018-10-25
AMD,DEL,2018-11-02T07:00:00Z,07:00,08:40,13328.0,10400.0,2423.0,Jet Airways,4,16h 35m,Economy,687,9W,9W_687_9W_834_,True,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,16h 40m,Economy,685,9W,9W_685_9W_715_,True,2018-10-25
AMD,DEL,2018-11-02T05:35:00Z,05:35,07:20,13328.0,10400.0,2423.0,Jet Airways,7,18h 0m,Economy,685,9W,9W_685_9W_834_,True,2018-10-25
